"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DFHAXZF8","journalArticle","2019","Vejnar, Charles E.; Abdel Messih, Mario; Takacs, Carter M.; Yartseva, Valeria; Oikonomou, Panos; Christiano, Romain; Stoeckius, Marlon; Lau, Stephanie; Lee, Miler T.; Beaudoin, Jean-Denis; Musaev, Damir; Darwich-Codore, Hiba; Walther, Tobias C.; Tavazoie, Saeed; Cifuentes, Daniel; Giraldez, Antonio J.","Genome wide analysis of 3' UTR sequence elements and proteins regulating mRNA stability during maternal-to-zygotic transition in zebrafish.","Genome research","","1549-5469 1088-9051","10.1101/gr.245159.118","","Posttranscriptional regulation plays a crucial role in shaping gene expression. During the maternal-to-zygotic transition (MZT), thousands of maternal transcripts are regulated. However, how different cis-elements and trans-factors  are integrated to determine mRNA stability remains poorly understood. Here, we show that most transcripts are under combinatorial regulation by multiple decay pathways during zebrafish MZT. By using a massively parallel reporter assay, we identified cis-regulatory sequences in the 3' UTR, including U-rich motifs that are associated with increased mRNA stability. In contrast, miR-430 target sequences, UAUUUAUU AU-rich elements (ARE), CCUC, and CUGC elements emerged as destabilizing motifs, with miR-430 and AREs causing mRNA deadenylation upon genome activation. We identified trans-factors by profiling RNA-protein interactions and found that poly(U)-binding proteins are preferentially associated with 3' UTR sequences and stabilizing motifs. We show that this activity is antagonized by C-rich motifs and correlated with protein binding. Finally, we integrated these regulatory motifs into a machine learning model that predicts reporter mRNA stability in vivo.","2019-07","2019-09-07 18:28:29","2019-09-07 18:28:29","","1100-1114","","7","29","","Genome Res","","","","","","","","eng","(c) 2019 Vejnar et al.; Published by Cold Spring Harbor Laboratory Press.","","","","","","PMID: 31227602  PMCID: PMC6633259","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJYBHLUX","journalArticle","2019","Chan, Shun Hang; Tang, Yin; Miao, Liyun; Darwich-Codore, Hiba; Vejnar, Charles E.; Beaudoin, Jean-Denis; Musaev, Damir; Fernandez, Juan P.; Benitez, Maria D. J.; Bazzini, Ariel A.; Moreno-Mateos, Miguel A.; Giraldez, Antonio J.","Brd4 and P300 Confer Transcriptional Competency during Zygotic Genome Activation.","Developmental cell","","1878-1551 1534-5807","10.1016/j.devcel.2019.05.037","","The awakening of the genome after fertilization is a cornerstone of animal development. However, the mechanisms that activate the silent genome after fertilization are poorly understood. Here, we show that transcriptional competency is regulated by Brd4- and P300-dependent histone acetylation in zebrafish. Live imaging of transcription revealed that genome activation, beginning at the miR-430 locus, is gradual and stochastic. We show that genome activation does not require slowdown of the cell cycle and is regulated through the translation of maternally inherited mRNAs. Among these, the enhancer regulators P300 and Brd4 can prematurely activate transcription and restore transcriptional competency when maternal mRNA translation is blocked, whereas inhibition of histone acetylation blocks genome activation. We conclude that P300 and Brd4 are sufficient to trigger genome-wide transcriptional competency by regulating histone acetylation on the first zygotic genes in zebrafish. This mechanism is critical for initiating zygotic development and developmental reprogramming.","2019-06-17","2019-09-07 18:28:29","2019-09-07 18:28:29","","867-881.e8","","6","49","","Dev Cell","","","","","","","","eng","Copyright (c) 2019 Elsevier Inc. All rights reserved.","","","","","","PMID: 31211993","","","","zebrafish; maternal-to-zygotic transition; embryonic development; cell reprogramming; genome activation; histone modifications; live imaging; transcription; transcriptional activation; zygotic genome activation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K3GYWUYZ","journalArticle","2018","Beaudoin, Jean-Denis; Novoa, Eva Maria; Vejnar, Charles E.; Yartseva, Valeria; Takacs, Carter M.; Kellis, Manolis; Giraldez, Antonio J.","Analyses of mRNA structure dynamics identify embryonic gene regulatory programs.","Nature structural & molecular biology","","1545-9985 1545-9985","10.1038/s41594-018-0091-z","","RNA folding plays a crucial role in RNA function. However, knowledge of the global structure of the transcriptome is limited to cellular systems at steady state, thus hindering the understanding of RNA structure dynamics during biological transitions and how it influences gene function. Here, we characterized mRNA structure dynamics during zebrafish development. We observed that on a global level, translation guides structure rather than structure guiding translation. We detected a decrease in structure in translated regions and identified the ribosome as a major remodeler of RNA structure in vivo. In contrast, we found that 3' untranslated regions (UTRs) form highly folded structures in vivo, which can affect gene expression by modulating microRNA activity. Furthermore, dynamic 3'-UTR structures contain RNA-decay elements, such as the regulatory elements in nanog and ccna1, two genes encoding key maternal factors orchestrating the maternal-to-zygotic transition. These results reveal a  central role of RNA structure dynamics in gene regulatory programs.","2018-08","2019-09-07 18:28:29","2019-09-07 18:28:29","","677-686","","8","25","","Nat Struct Mol Biol","","","","","","","","eng","","","","","","","PMID: 30061596  PMCID: PMC6690192","","","","3' Untranslated Regions; Animals; Protein Biosynthesis; Transcriptome; *Gene Regulatory Networks; *Gene Expression Regulation, Developmental; Zebrafish/embryology/genetics; RNA Stability; *Nucleic Acid Conformation; RNA, Messenger/*chemistry/genetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4EV3GYTD","journalArticle","2015","Moreno-Mateos, Miguel A.; Vejnar, Charles E.; Beaudoin, Jean-Denis; Fernandez, Juan P.; Mis, Emily K.; Khokha, Mustafa K.; Giraldez, Antonio J.","CRISPRscan: designing highly efficient sgRNAs for CRISPR-Cas9 targeting in vivo.","Nature methods","","1548-7105 1548-7091","10.1038/nmeth.3543","","CRISPR-Cas9 technology provides a powerful system for genome engineering. However, variable activity across different single guide RNAs (sgRNAs) remains a  significant limitation. We analyzed the molecular features that influence sgRNA stability, activity and loading into Cas9 in vivo. We observed that guanine enrichment and adenine depletion increased sgRNA stability and activity, whereas  differential sgRNA loading, nucleosome positioning and Cas9 off-target binding were not major determinants. We also identified sgRNAs truncated by one or two nucleotides and containing 5' mismatches as efficient alternatives to canonical sgRNAs. On the basis of these results, we created a predictive sgRNA-scoring algorithm, CRISPRscan, that effectively captures the sequence features affecting  the activity of CRISPR-Cas9 in vivo. Finally, we show that targeting Cas9 to the  germ line using a Cas9-nanos 3' UTR led to the generation of maternal-zygotic mutants, as well as increased viability and decreased somatic mutations. These results identify determinants that influence Cas9 activity and provide a framework for the design of highly efficient sgRNAs for genome targeting in vivo.","2015-10","2019-09-07 18:28:29","2019-09-07 18:28:29","","982-988","","10","12","","Nat Methods","","","","","","","","eng","","","","","","","PMID: 26322839  PMCID: PMC4589495","","","","3' Untranslated Regions; Animals; Embryo, Nonmammalian; Female; Gene Expression Regulation; Mutation; Genome; Zebrafish/embryology/genetics; Zebrafish Proteins/genetics; *CRISPR-Cas Systems; *Algorithms; Adenine; Clustered Regularly Interspaced Short Palindromic Repeats; Gene Targeting/*methods; Genetic Engineering/methods; Guanine; RNA, Guide/*genetics; Xenopus/genetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQYYQSWQ","journalArticle","2015","Rouleau, Samuel G.; Beaudoin, Jean-Denis; Bisaillon, Martin; Perreault, Jean-Pierre","Small antisense oligonucleotides against G-quadruplexes: specific mRNA translational switches.","Nucleic acids research","","1362-4962 0305-1048","10.1093/nar/gku1311","","G-quadruplexes (G4) are intricate RNA structures found throughout the transcriptome. Because they are associated with a variety of biological cellular  mechanisms, these fascinating structural motifs are seen as potential therapeutic targets against many diseases. While screening of chemical compounds specific to  G4 motifs has yielded interesting results, no single compound successfully discriminates between G4 motifs based on nucleotide sequences alone. This level of specificity is best attained using antisense oligonucleotides (ASO). Indeed, oligonucleotide-based strategies are already used to modulate DNA G4 folding in vitro. Here, we report that, in human cells, the use of short ASO to promote and  inhibit RNA G4 folding affects the translation of specific mRNAs, including one from the 5'UTR of the H2AFY gene, a histone variant associated with cellular differentiation and cancer. These results suggest that the relatively high specificity of ASO-based strategies holds significant potential for applications  aimed at modulating G4-motif folding.","2015-01","2019-09-07 18:28:29","2019-09-07 18:28:29","","595-606","","1","43","","Nucleic Acids Res","","","","","","","","eng","(c) The Author(s) 2014. Published by Oxford University Press on behalf of Nucleic Acids Research.","","","","","","PMID: 25510493  PMCID: PMC4288198","","","","Humans; HEK293 Cells; RNA, Messenger/metabolism; *Protein Biosynthesis; *G-Quadruplexes; *Oligonucleotides, Antisense; Caco-2 Cells; RNA Folding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7XGH8DJ","journalArticle","2014","Beaudoin, Jean-Denis; Jodoin, Rachel; Perreault, Jean-Pierre","New scoring system to identify RNA G-quadruplex folding.","Nucleic acids research","","1362-4962 0305-1048","10.1093/nar/gkt904","","G-quadruplexes (G4s) are non-canonical structures involved in many important cellular processes. To date, the prediction of potential G-quadruplex structures  (PG4s) has been based almost exclusively on the sequence of interest agreeing with the algorithm Gx-N-1-7-Gx-N1-7-Gx-N1-7-Gx (where x >/= 3 and N = A, U, G or  C). However, many sequences agreeing with this algorithm do not form G4s and are  considered false-positive predictions. Here we show the RNA PG4 candidate in the  3'-untranslated region (UTR) of the TTYH1 gene to be one such false positive. Specifically, G4 folding was observed to be inhibited by the presence of multiple-cytosine tracks, located in the candidate's genomic context, that adopted a Watson-Crick base-paired structure. Clearly, the neighbouring sequences of a PG4 may influence its folding. The secondary structure of 12 PG4 motifs along with either 15 or 50 nucleotides of their upstream and downstream genomic contexts were evaluated by in-line probing. Data permitted the development of a scoring system for the prediction of PG4s taking into account the effect of the neighbouring sequences. The accuracy of this scoring system was assessed by probing 14 other novel PG4 candidates retrieved in human 5'-UTRs. This new scoring system can be used, in combination with the standard algorithm, to better predict the folding of RNA G4s.","2014-01","2019-09-07 18:28:29","2019-09-07 18:28:29","","1209-1223","","2","42","","Nucleic Acids Res","","","","","","","","eng","","","","","","","PMID: 24121682  PMCID: PMC3902908","","","","Algorithms; Base Pairing; Genomics; Humans; HEK293 Cells; *3' Untranslated Regions; *G-Quadruplexes; RNA Folding; Membrane Proteins/genetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P6LA442H","journalArticle","2013","Beaudoin, Jean-Denis; Perreault, Jean-Pierre","Exploring mRNA 3'-UTR G-quadruplexes: evidence of roles in both alternative polyadenylation and mRNA shortening.","Nucleic acids research","","1362-4962 0305-1048","10.1093/nar/gkt265","","Guanine-rich RNA sequences can fold into non-canonical, four stranded helical structures called G-quadruplexes that have been shown to be widely distributed within the mammalian transcriptome, as well as being key regulatory elements in various biological mechanisms. That said, their role within the 3'-untranslated region (UTR) of mRNA remains to be elucidated and appreciated. A bioinformatic analysis of the 3'-UTRs of mRNAs revealed enrichment in G-quadruplexes. To shed light on the role(s) of these structures, those found in the LRP5 and FXR1 genes  were characterized both in vitro and in cellulo. The 3'-UTR G-quadruplexes were found to increase the efficiencies of alternative polyadenylation sites, leading  to the expression of shorter transcripts and to possess the ability to interfere  with the miRNA regulatory network of a specific mRNA. Clearly, G-quadruplexes located in the 3'-UTRs of mRNAs are cis-regulatory elements that have a significant impact on gene expression.","2013-06","2019-09-07 18:28:29","2019-09-07 18:28:29","","5898-5911","","11","41","","Nucleic Acids Res","","","","","","","","eng","","","","","","","PMID: 23609544  PMCID: PMC3675481","","","","Gene Expression Regulation; Humans; RNA, Messenger/*metabolism; HEK293 Cells; *3' Untranslated Regions; RNA-Binding Proteins/genetics; *G-Quadruplexes; *Polyadenylation; *Regulatory Sequences, Ribonucleic Acid; Low Density Lipoprotein Receptor-Related Protein-5/genetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WHTZEAQU","journalArticle","2013","Beaudoin, Jean-Denis; Jodoin, Rachel; Perreault, Jean-Pierre","In-line probing of RNA G-quadruplexes.","Methods (San Diego, Calif.)","","1095-9130 1046-2023","10.1016/j.ymeth.2013.02.017","","Although the majority of the initial G-quadruplex studies were performed on DNA molecules, there currently exists a rapidly growing interest in the investigation of those formed in RNA molecules that possess high potential of acting as gene expression regulatory elements. Indeed, G-quadruplexes found in the 5'-untranslated regions of mRNAs have been reported to be widespread within the human transcriptome and to act as general translational repressors. In addition to translation regulation, several other mRNA maturation steps and events, including mRNA splicing, polyadenylation and localization, have been shown to be  influenced by the presence of these RNA G-quadruplexes. Bioinformatic approaches  have identified thousands of potential RNA G-quadruplex sequences in the human transcriptome. Clearly there is a need for the development of rapid, simple and informative techniques and methodologies with which the ability of these sequences, and of any potential new regulatory elements, to fold into","2013-11","2019-09-07 18:28:29","2019-09-07 18:28:29","","79-87","","1","64","","Methods","","","","","","","","eng","Copyright (c) 2013 Elsevier Inc. All rights reserved.","","","","","","PMID: 23500045","","","","Gene Expression Regulation; *G-Quadruplexes; *Molecular Probe Techniques; Cyclic AMP Response Element Modulator/chemistry/genetics; In-line probing; Models, Molecular; Potassium/chemistry; RNA G-quadruplex; RNA representation; RNA structure; RNA structure prediction; RNA/*chemistry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2WDWM6R","journalArticle","2010","Beaudoin, Jean-Denis; Perreault, Jean-Pierre","5'-UTR G-quadruplex structures acting as translational repressors.","Nucleic acids research","","1362-4962 0305-1048","10.1093/nar/gkq557","","Given that greater than 90% of the human genome is expressed, it is logical to assume that post-transcriptional regulatory mechanisms must be the primary means  of controlling the flow of information from mRNA to protein. This report describes a robust approach that includes in silico, in vitro and in cellulo experiments permitting an in-depth evaluation of the impact of G-quadruplexes as  translational repressors. Sequences including potential G-quadruplexes were selected within nine distinct genes encoding proteins involved in various biological processes. Their abilities to fold into G-quadruplex structures in vitro were evaluated using circular dichroism, thermal denaturation and the novel use of in-line probing. Six sequences were observed to fold into G-quadruplex structures in vitro, all of which exhibited translational inhibition in cellulo when linked to a reporter gene. Sequence analysis, direct mutagenesis and subsequent experiments were performed in order to define the rules governing the  folding of G-quadruplexes. In addition, the impact of single-nucleotide polymorphism was shown to be important in the formation of G-quadruplexes located within the 5'-untranslated region of an mRNA. In light of these results, clearly  the 5'-UTR G-quadruplexes represent a class of translational repressors that is broadly distributed in the cell.","2010-11","2019-09-07 18:28:29","2019-09-07 18:28:29","","7022-7036","","20","38","","Nucleic Acids Res","","","","","","","","eng","","","","","","","PMID: 20571090  PMCID: PMC2978341","","","","Humans; *Protein Biosynthesis; *G-Quadruplexes; *Regulatory Sequences, Ribonucleic Acid; *5' Untranslated Regions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V4WB4VAQ","journalArticle","2009","Reymond, Cedric; Beaudoin, Jean-Denis; Perreault, Jean-Pierre","Modulating RNA structure and catalysis: lessons from small cleaving ribozymes.","Cellular and molecular life sciences : CMLS","","1420-9071 1420-682X","10.1007/s00018-009-0124-1","","RNA is a key molecule in life, and comprehending its structure/function relationships is a crucial step towards a more complete understanding of molecular biology. Even though most of the information required for their correct folding is contained in their primary sequences, we are as yet unable to accurately predict both the folding pathways and active tertiary structures of RNA species. Ribozymes are interesting molecules to study when addressing these questions because any modifications in their structures are often reflected in their catalytic properties. The recent progress in the study of the structures, the folding pathways and the modulation of the small ribozymes derived from natural, self-cleaving, RNA motifs have significantly contributed to today's knowledge in the field.","2009-12","2019-09-07 18:28:29","2019-09-07 18:28:29","","3937-3950","","24","66","","Cell Mol Life Sci","","","","","","","","eng","","","","","","","PMID: 19718544  PMCID: PMC2777235","","","","Molecular Structure; Animals; Base Sequence; Humans; Molecular Sequence Data; *Nucleic Acid Conformation; Models, Molecular; Catalysis; RNA, Catalytic/*chemistry/genetics/metabolism; RNA/*chemistry/genetics/metabolism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
